baseline_seg,interf_seg,svid,sys,baseline_std_psr,interf_std_psr,delta
无干扰 #3,4G/5G 干扰,BDS12,BDS,0.253,0.253,0.0
无干扰 #3,4G/5G 干扰,BDS19,BDS,0.169,0.169,0.0
无干扰 #3,4G/5G 干扰,BDS2,BDS,0.253,0.253,0.0
无干扰 #3,4G/5G 干扰,BDS20,BDS,0.169,0.253,0.08399999999999999
无干扰 #3,4G/5G 干扰,BDS22,BDS,0.253,0.253,0.0
无干扰 #3,4G/5G 干扰,BDS3,BDS,0.253,0.253,0.0
无干扰 #3,4G/5G 干扰,BDS36,BDS,0.169,0.169,0.0
无干扰 #3,4G/5G 干扰,BDS39,BDS,0.253,0.253,0.0
无干扰 #3,4G/5G 干扰,BDS4,BDS,0.253,0.253,0.0
无干扰 #3,4G/5G 干扰,BDS6,BDS,0.253,0.21100000000000002,-0.04199999999999998
无干扰 #3,4G/5G 干扰,BDS7,BDS,0.253,0.21100000000000002,-0.04199999999999998
无干扰 #3,4G/5G 干扰,BDS9,BDS,0.253,0.253,0.0
无干扰 #3,4G/5G 干扰,GAL15,GAL,0.253,0.253,0.0
无干扰 #3,4G/5G 干扰,GAL2,GAL,0.253,0.169,-0.08399999999999999
无干扰 #3,4G/5G 干扰,GAL25,GAL,0.169,0.253,0.08399999999999999
无干扰 #3,4G/5G 干扰,GAL3,GAL,0.169,0.169,0.0
无干扰 #3,4G/5G 干扰,GAL32,GAL,0.169,0.169,0.0
无干扰 #3,4G/5G 干扰,GAL8,GAL,0.253,0.253,0.0
无干扰 #3,4G/5G 干扰,GLO41,GLO,0.253,0.253,0.0
无干扰 #3,4G/5G 干扰,GLO42,GLO,0.253,0.253,0.0
无干扰 #3,4G/5G 干扰,GLO43,GLO,0.253,0.253,0.0
无干扰 #3,4G/5G 干扰,GLO53,GLO,0.21100000000000002,0.253,0.04199999999999998
无干扰 #3,4G/5G 干扰,GPS10,GPS,0.253,0.169,-0.08399999999999999
无干扰 #3,4G/5G 干扰,GPS12,GPS,0.253,0.253,0.0
无干扰 #3,4G/5G 干扰,GPS13,GPS,0.253,0.253,0.0
无干扰 #3,4G/5G 干扰,GPS23,GPS,0.253,0.253,0.0
无干扰 #3,4G/5G 干扰,GPS24,GPS,0.38,0.253,-0.127
无干扰 #3,4G/5G 干扰,GPS25,GPS,0.253,0.253,0.0
无干扰 #3,4G/5G 干扰,GPS28,GPS,0.253,0.253,0.0
无干扰 #3,4G/5G 干扰,GPS31,GPS,0.253,0.253,0.0
无干扰 #3,4G/5G 干扰,GPS32,GPS,0.253,0.253,0.0
无干扰 #3,4G/5G 干扰,QZS194,QZS,0.253,0.253,0.0
无干扰 #3,4G/5G 干扰,QZS195,QZS,0.253,0.253,0.0
无干扰 #3,4G/5G 干扰,QZS199,QZS,0.253,0.253,0.0
无干扰 #4,Wi-Fi 干扰,BDS1,BDS,0.21100000000000002,0.21100000000000002,0.0
无干扰 #4,Wi-Fi 干扰,BDS10,BDS,0.253,0.253,0.0
无干扰 #4,Wi-Fi 干扰,BDS12,BDS,0.253,0.169,-0.08399999999999999
无干扰 #4,Wi-Fi 干扰,BDS19,BDS,0.169,0.169,0.0
无干扰 #4,Wi-Fi 干扰,BDS2,BDS,0.253,0.253,0.0
无干扰 #4,Wi-Fi 干扰,BDS20,BDS,0.253,0.253,0.0
无干扰 #4,Wi-Fi 干扰,BDS22,BDS,0.253,0.253,0.0
无干扰 #4,Wi-Fi 干扰,BDS3,BDS,0.21100000000000002,0.21100000000000002,0.0
无干扰 #4,Wi-Fi 干扰,BDS36,BDS,0.169,0.169,0.0
无干扰 #4,Wi-Fi 干扰,BDS39,BDS,0.253,0.253,0.0
无干扰 #4,Wi-Fi 干扰,BDS4,BDS,0.253,0.253,0.0
无干扰 #4,Wi-Fi 干扰,BDS6,BDS,0.21100000000000002,0.21100000000000002,0.0
无干扰 #4,Wi-Fi 干扰,BDS7,BDS,0.253,0.253,0.0
无干扰 #4,Wi-Fi 干扰,BDS9,BDS,0.253,0.253,0.0
无干扰 #4,Wi-Fi 干扰,GAL15,GAL,0.253,0.253,0.0
无干扰 #4,Wi-Fi 干扰,GAL2,GAL,0.253,0.169,-0.08399999999999999
无干扰 #4,Wi-Fi 干扰,GAL25,GAL,0.253,0.169,-0.08399999999999999
无干扰 #4,Wi-Fi 干扰,GAL3,GAL,0.253,0.169,-0.08399999999999999
无干扰 #4,Wi-Fi 干扰,GAL32,GAL,0.169,0.169,0.0
无干扰 #4,Wi-Fi 干扰,GAL8,GAL,0.253,0.253,0.0
无干扰 #4,Wi-Fi 干扰,GLO41,GLO,0.253,0.253,0.0
无干扰 #4,Wi-Fi 干扰,GLO42,GLO,0.253,0.253,0.0
无干扰 #4,Wi-Fi 干扰,GLO43,GLO,0.253,0.253,0.0
无干扰 #4,Wi-Fi 干扰,GLO52,GLO,0.253,0.38,0.127
无干扰 #4,Wi-Fi 干扰,GLO53,GLO,0.253,0.253,0.0
无干扰 #4,Wi-Fi 干扰,GPS10,GPS,0.253,0.253,0.0
无干扰 #4,Wi-Fi 干扰,GPS12,GPS,0.253,0.253,0.0
无干扰 #4,Wi-Fi 干扰,GPS13,GPS,0.253,0.253,0.0
无干扰 #4,Wi-Fi 干扰,GPS23,GPS,0.253,0.253,0.0
无干扰 #4,Wi-Fi 干扰,GPS24,GPS,0.253,0.253,0.0
无干扰 #4,Wi-Fi 干扰,GPS25,GPS,0.253,0.169,-0.08399999999999999
无干扰 #4,Wi-Fi 干扰,GPS28,GPS,0.253,0.253,0.0
无干扰 #4,Wi-Fi 干扰,GPS31,GPS,0.253,0.253,0.0
无干扰 #4,Wi-Fi 干扰,GPS32,GPS,0.253,0.253,0.0
无干扰 #4,Wi-Fi 干扰,QZS194,QZS,0.253,0.253,0.0
无干扰 #4,Wi-Fi 干扰,QZS195,QZS,0.253,0.253,0.0
无干扰 #4,Wi-Fi 干扰,QZS199,QZS,0.253,0.253,0.0
