baseline_seg,interf_seg,svid,sys,baseline_std_adr,interf_std_adr,delta
无干扰 #2,392MHz 干扰,BDS10,BDS,0.001953125,0.001953125,0.0
无干扰 #2,392MHz 干扰,BDS2,BDS,0.001953125,0.00390625,0.001953125
无干扰 #2,392MHz 干扰,BDS23,BDS,0.001953125,0.001953125,0.0
无干扰 #2,392MHz 干扰,BDS24,BDS,0.001953125,0.001953125,0.0
无干扰 #2,392MHz 干扰,BDS25,BDS,0.001953125,0.001953125,0.0
无干扰 #2,392MHz 干扰,BDS3,BDS,0.001953125,0.001953125,0.0
无干扰 #2,392MHz 干扰,BDS33,BDS,0.001953125,0.001953125,0.0
无干扰 #2,392MHz 干扰,BDS4,BDS,0.001953125,0.001953125,0.0
无干扰 #2,392MHz 干扰,BDS41,BDS,0.001953125,0.001953125,0.0
无干扰 #2,392MHz 干扰,BDS42,BDS,0.001953125,0.0029296875,0.0009765625
无干扰 #2,392MHz 干扰,BDS6,BDS,0.001953125,0.001953125,0.0
无干扰 #2,392MHz 干扰,BDS7,BDS,0.001953125,0.001953125,0.0
无干扰 #2,392MHz 干扰,BDS9,BDS,0.001953125,0.001953125,0.0
无干扰 #2,392MHz 干扰,GAL13,GAL,0.001953125,0.001953125,0.0
无干扰 #2,392MHz 干扰,GAL2,GAL,0.001953125,0.001953125,0.0
无干扰 #2,392MHz 干扰,GAL26,GAL,0.001953125,0.00390625,0.001953125
无干扰 #2,392MHz 干扰,GAL30,GAL,0.001953125,0.001953125,0.0
无干扰 #2,392MHz 干扰,GAL32,GAL,0.001953125,0.001953125,0.0
无干扰 #2,392MHz 干扰,GAL7,GAL,0.001953125,0.001953125,0.0
无干扰 #2,392MHz 干扰,GAL8,GAL,0.001953125,0.001953125,0.0
无干扰 #2,392MHz 干扰,GLO100,GLO,0.001953125,0.001953125,0.0
无干扰 #2,392MHz 干扰,GLO76,GLO,0.00390625,0.001953125,-0.001953125
无干扰 #2,392MHz 干扰,GLO82,GLO,0.00390625,0.001953125,-0.001953125
无干扰 #2,392MHz 干扰,GLO85,GLO,0.001953125,0.001953125,0.0
无干扰 #2,392MHz 干扰,GLO86,GLO,0.001953125,0.001953125,0.0
无干扰 #2,392MHz 干扰,GLO91,GLO,0.001953125,0.00390625,0.001953125
无干扰 #2,392MHz 干扰,GLO98,GLO,0.00390625,0.00390625,0.0
无干扰 #2,392MHz 干扰,GPS10,GPS,0.001953125,0.001953125,0.0
无干扰 #2,392MHz 干扰,GPS12,GPS,0.001953125,0.001953125,0.0
无干扰 #2,392MHz 干扰,GPS13,GPS,0.001953125,0.001953125,0.0
无干扰 #2,392MHz 干扰,GPS18,GPS,0.001953125,0.00390625,0.001953125
无干扰 #2,392MHz 干扰,GPS23,GPS,0.001953125,0.001953125,0.0
无干扰 #2,392MHz 干扰,GPS25,GPS,0.001953125,0.001953125,0.0
无干扰 #2,392MHz 干扰,GPS28,GPS,0.001953125,0.001953125,0.0
无干扰 #2,392MHz 干扰,GPS32,GPS,0.001953125,0.001953125,0.0
无干扰 #2,392MHz 干扰,QZS194,QZS,0.001953125,0.001953125,0.0
无干扰 #2,392MHz 干扰,QZS195,QZS,0.001953125,0.001953125,0.0
无干扰 #2,392MHz 干扰,QZS199,QZS,0.001953125,0.001953125,0.0
无干扰 #3,4G/5G 干扰,BDS1,BDS,0.001953125,0.001953125,0.0
无干扰 #3,4G/5G 干扰,BDS10,BDS,0.001953125,0.001953125,0.0
无干扰 #3,4G/5G 干扰,BDS2,BDS,0.001953125,0.001953125,0.0
无干扰 #3,4G/5G 干扰,BDS23,BDS,0.001953125,0.001953125,0.0
无干扰 #3,4G/5G 干扰,BDS24,BDS,0.001953125,0.001953125,0.0
无干扰 #3,4G/5G 干扰,BDS25,BDS,0.001953125,0.001953125,0.0
无干扰 #3,4G/5G 干扰,BDS3,BDS,0.001953125,0.001953125,0.0
无干扰 #3,4G/5G 干扰,BDS33,BDS,0.001953125,0.001953125,0.0
无干扰 #3,4G/5G 干扰,BDS4,BDS,0.001953125,0.001953125,0.0
无干扰 #3,4G/5G 干扰,BDS41,BDS,0.001953125,0.001953125,0.0
无干扰 #3,4G/5G 干扰,BDS42,BDS,0.001953125,0.001953125,0.0
无干扰 #3,4G/5G 干扰,BDS6,BDS,0.001953125,0.001953125,0.0
无干扰 #3,4G/5G 干扰,BDS7,BDS,0.001953125,0.001953125,0.0
无干扰 #3,4G/5G 干扰,BDS9,BDS,0.001953125,0.001953125,0.0
无干扰 #3,4G/5G 干扰,GAL13,GAL,0.001953125,0.001953125,0.0
无干扰 #3,4G/5G 干扰,GAL2,GAL,0.001953125,0.001953125,0.0
无干扰 #3,4G/5G 干扰,GAL26,GAL,0.001953125,0.001953125,0.0
无干扰 #3,4G/5G 干扰,GAL30,GAL,0.001953125,0.001953125,0.0
无干扰 #3,4G/5G 干扰,GAL32,GAL,0.001953125,0.001953125,0.0
无干扰 #3,4G/5G 干扰,GAL7,GAL,0.001953125,0.001953125,0.0
无干扰 #3,4G/5G 干扰,GAL8,GAL,0.001953125,0.001953125,0.0
无干扰 #3,4G/5G 干扰,GLO100,GLO,0.001953125,0.001953125,0.0
无干扰 #3,4G/5G 干扰,GLO75,GLO,0.001953125,0.00390625,0.001953125
无干扰 #3,4G/5G 干扰,GLO76,GLO,0.001953125,0.00390625,0.001953125
无干扰 #3,4G/5G 干扰,GLO82,GLO,0.001953125,0.001953125,0.0
无干扰 #3,4G/5G 干扰,GLO85,GLO,0.001953125,0.001953125,0.0
无干扰 #3,4G/5G 干扰,GLO86,GLO,0.001953125,0.001953125,0.0
无干扰 #3,4G/5G 干扰,GLO91,GLO,0.00390625,0.001953125,-0.001953125
无干扰 #3,4G/5G 干扰,GLO98,GLO,0.00390625,0.001953125,-0.001953125
无干扰 #3,4G/5G 干扰,GPS10,GPS,0.001953125,0.001953125,0.0
无干扰 #3,4G/5G 干扰,GPS12,GPS,0.001953125,0.001953125,0.0
无干扰 #3,4G/5G 干扰,GPS13,GPS,0.001953125,0.001953125,0.0
无干扰 #3,4G/5G 干扰,GPS18,GPS,0.001953125,0.001953125,0.0
无干扰 #3,4G/5G 干扰,GPS23,GPS,0.001953125,0.001953125,0.0
无干扰 #3,4G/5G 干扰,GPS25,GPS,0.001953125,0.001953125,0.0
无干扰 #3,4G/5G 干扰,GPS28,GPS,0.001953125,0.001953125,0.0
无干扰 #3,4G/5G 干扰,GPS32,GPS,0.001953125,0.001953125,0.0
无干扰 #3,4G/5G 干扰,QZS194,QZS,0.001953125,0.001953125,0.0
无干扰 #3,4G/5G 干扰,QZS195,QZS,0.001953125,0.001953125,0.0
无干扰 #3,4G/5G 干扰,QZS199,QZS,0.001953125,0.001953125,0.0
无干扰 #4,Wi-Fi 干扰,BDS1,BDS,0.001953125,0.001953125,0.0
无干扰 #4,Wi-Fi 干扰,BDS10,BDS,0.001953125,0.001953125,0.0
无干扰 #4,Wi-Fi 干扰,BDS2,BDS,0.001953125,0.001953125,0.0
无干扰 #4,Wi-Fi 干扰,BDS23,BDS,0.001953125,0.001953125,0.0
无干扰 #4,Wi-Fi 干扰,BDS24,BDS,0.001953125,0.001953125,0.0
无干扰 #4,Wi-Fi 干扰,BDS25,BDS,0.001953125,0.001953125,0.0
无干扰 #4,Wi-Fi 干扰,BDS3,BDS,0.001953125,0.001953125,0.0
无干扰 #4,Wi-Fi 干扰,BDS32,BDS,0.00390625,0.00390625,0.0
无干扰 #4,Wi-Fi 干扰,BDS33,BDS,0.001953125,0.001953125,0.0
无干扰 #4,Wi-Fi 干扰,BDS4,BDS,0.001953125,0.001953125,0.0
无干扰 #4,Wi-Fi 干扰,BDS41,BDS,0.001953125,0.001953125,0.0
无干扰 #4,Wi-Fi 干扰,BDS42,BDS,0.001953125,0.001953125,0.0
无干扰 #4,Wi-Fi 干扰,BDS6,BDS,0.001953125,0.001953125,0.0
无干扰 #4,Wi-Fi 干扰,BDS7,BDS,0.001953125,0.001953125,0.0
无干扰 #4,Wi-Fi 干扰,BDS9,BDS,0.001953125,0.001953125,0.0
无干扰 #4,Wi-Fi 干扰,GAL13,GAL,0.001953125,0.001953125,0.0
无干扰 #4,Wi-Fi 干扰,GAL2,GAL,0.001953125,0.001953125,0.0
无干扰 #4,Wi-Fi 干扰,GAL26,GAL,0.001953125,0.001953125,0.0
无干扰 #4,Wi-Fi 干扰,GAL30,GAL,0.001953125,0.001953125,0.0
无干扰 #4,Wi-Fi 干扰,GAL32,GAL,0.001953125,0.001953125,0.0
无干扰 #4,Wi-Fi 干扰,GAL7,GAL,0.001953125,0.001953125,0.0
无干扰 #4,Wi-Fi 干扰,GAL8,GAL,0.001953125,0.001953125,0.0
无干扰 #4,Wi-Fi 干扰,GLO100,GLO,0.001953125,0.001953125,0.0
无干扰 #4,Wi-Fi 干扰,GLO75,GLO,0.00390625,0.00390625,0.0
无干扰 #4,Wi-Fi 干扰,GLO76,GLO,0.001953125,0.00390625,0.001953125
无干扰 #4,Wi-Fi 干扰,GLO82,GLO,0.001953125,0.001953125,0.0
无干扰 #4,Wi-Fi 干扰,GLO85,GLO,0.001953125,0.001953125,0.0
无干扰 #4,Wi-Fi 干扰,GLO86,GLO,0.001953125,0.001953125,0.0
无干扰 #4,Wi-Fi 干扰,GLO91,GLO,0.001953125,0.001953125,0.0
无干扰 #4,Wi-Fi 干扰,GLO98,GLO,0.001953125,0.00390625,0.001953125
无干扰 #4,Wi-Fi 干扰,GPS10,GPS,0.001953125,0.001953125,0.0
无干扰 #4,Wi-Fi 干扰,GPS12,GPS,0.001953125,0.001953125,0.0
无干扰 #4,Wi-Fi 干扰,GPS13,GPS,0.001953125,0.001953125,0.0
无干扰 #4,Wi-Fi 干扰,GPS18,GPS,0.00390625,0.00390625,0.0
无干扰 #4,Wi-Fi 干扰,GPS23,GPS,0.001953125,0.001953125,0.0
无干扰 #4,Wi-Fi 干扰,GPS25,GPS,0.001953125,0.001953125,0.0
无干扰 #4,Wi-Fi 干扰,GPS28,GPS,0.001953125,0.001953125,0.0
无干扰 #4,Wi-Fi 干扰,GPS31,GPS,0.00390625,0.00390625,0.0
无干扰 #4,Wi-Fi 干扰,GPS32,GPS,0.001953125,0.001953125,0.0
无干扰 #4,Wi-Fi 干扰,QZS194,QZS,0.001953125,0.001953125,0.0
无干扰 #4,Wi-Fi 干扰,QZS195,QZS,0.001953125,0.001953125,0.0
无干扰 #4,Wi-Fi 干扰,QZS199,QZS,0.001953125,0.001953125,0.0
